description,name,price
Je 850-ml-Dose,"
                        Filder-Sauerkraut 850 ml
                    ","
				€ 1,29
			"
Je 2 x 125 g = 250-g-Packung,"
                        BERNBACHER Suppennudeln 250 g
                    ","
				€ 1,39
			"
"Je 150-g-PackungVersch. Sorten:
	","
                        WONNEMEYER Antipasti-Creme 150 g
                    ","
				€ 1,29
			"
"Je 250-ml-GlasVersch. Sorten:
	","
                        ECOLAND® Bio-Landsenf 250 ml
                    ","
				€ 2,49
			"
Je 500-g-Packung,"
                        ALB GOLD Königsspätzle 500 g
                    ","
				€ 2,79
			"
Je 750-g-Packung,"
                        ECHT FRANKEN Fränkischer Kloßteig 750 g
                    ","
				€ 1,19
			"
Je 1-kg-Packung,"
                        BON-RI Basmati-Reis 1kg
                    ","
				€ 1,99
			"
Je 800-g-Packung,"
                        SCHOVIT Kakaohaltiges Getränkepulver 800 g
                    ","
				€ 2,19
			"
Je 750-ml-Flasche,"
                        CANTINELLE Natives Olivenöl extra 750 ml
                    ","
				€ 3,89
			"
"Je 230-g-DoseGanze Champignon-KöpfeAus 1. WahlKalt oder warm ein feiner Pilz-GenussIdeal auch für die Vorratslagerung geeignetNutri Score A, Infos zum Nutri-Score findest du ","
                        KING‘S CROWN Champignons I. Wahl ganze Köpfe 230 g
                    ","
				€ 0,99
			"
"Je 80-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigend","
                        GUT BIO Bio-Gewürzspezialität Tandoori 80 g
                    ","
				€ 2,59
			"
"Je 75-g-PackungNUTRI-SCORE: AVersch. Sorten:
	","
                        ALL SEASONS Kräuter 75 g
                    ","
				€ 0,69
			"
Je 400-g-Packung,"
                        ASIA GREEN GARDEN Teriyaki Frühlingsrollen 400 g
                    ","
				€ 1,79
			"
"Je 200-g-PackungVersch. Sorten:
	","
                        WONNEMEYER Hummus 200 g
                    ","
				€ 0,69
			"
"Je 195-g-PackungVersch. Sorten:
	","
                        CUCINA NOBILE Pasta Snack 195 g
                    ","
				€ 1,19
			"
